accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
860,-422,16774,0,-0.01,0,-232,-67,121,-0.06,0.03,-0.02
890,-328,16852,0,0,0,-247,-72,123,-0.29,-0.05,0.02
806,-274,16770,0,0,0,-226,-76,118,0.03,-0.11,-0.06
824,-300,16736,0,0,0,-232,-57,120,-0.06,0.18,-0.03
782,-414,16736,0,-0.01,0,-224,-69,122,0.06,0,0
886,-372,16714,0,0,0,-235,-69,112,-0.11,0,-0.15
790,-376,16676,0,0,-0.01,-228,-67,119,0,0.03,-0.05
836,-322,16784,0,0,0,-229,-73,126,-0.02,-0.06,0.06
812,-316,16876,0,0,0.01,-231,-68,121,-0.05,0.02,-0.02
802,-270,16704,0,0,-0.01,-226,-75,123,0.03,-0.09,0.02
920,-350,16806,0.01,0,0,-234,-61,127,-0.09,0.12,0.08
806,-326,16846,0,0,0,-233,-67,128,-0.08,0.03,0.09
836,-380,16778,0,0,0,-225,-65,125,0.05,0.06,0.05
840,-344,16848,0,0,0,-223,-74,122,0.08,-0.08,0
882,-310,16848,0,0,0,-225,-69,121,0.05,0,-0.02
788,-312,16806,0,0,0,-223,-74,115,0.08,-0.08,-0.11
834,-296,16810,0,0,0,-230,-65,125,-0.03,0.06,0.05
874,-396,16794,0,0,0,-232,-68,114,-0.06,0.02,-0.12
808,-320,16680,0,0,-0.01,-227,-74,121,0.02,-0.08,-0.02
860,-294,16836,0,0,0,-230,-60,128,-0.03,0.14,0.09
786,-322,16876,0,0,0.01,-246,-70,118,-0.27,-0.02,-0.06
766,-312,16708,0,0,-0.01,-231,-81,123,-0.05,-0.18,0.02
800,-310,16774,0,0,0,-228,-65,126,0,0.06,0.06
796,-312,16756,0,0,0,-231,-72,130,-0.05,-0.05,0.12
778,-302,16740,0,0,0,-238,-73,117,-0.15,-0.06,-0.08
878,-264,16866,0,0,0,-232,-73,123,-0.06,-0.06,0.02
824,-316,16720,0,0,0,-233,-67,121,-0.08,0.03,-0.02
854,-222,16796,0,0.01,0,-221,-78,122,0.11,-0.14,0
822,-262,16796,0,0,0,-225,-66,126,0.05,0.05,0.06
882,-340,16836,0,0,0,-228,-77,131,0,-0.12,0.14
800,-312,16798,0,0,0,-224,-68,119,0.06,0.02,-0.05
822,-316,16702,0,0,-0.01,-221,-73,122,0.11,-0.06,0
878,-356,16778,0,0,0,-223,-72,123,0.08,-0.05,0.02
786,-290,16670,0,0,-0.01,-230,-62,120,-0.03,0.11,-0.03
874,-356,16706,0,0,-0.01,-229,-66,117,-0.02,0.05,-0.08
808,-272,16818,0,0,0,-222,-72,122,0.09,-0.05,0
870,-272,16866,0,0,0,-225,-68,117,0.05,0.02,-0.08
752,-390,16646,0,0,-0.01,-225,-73,118,0.05,-0.06,-0.06
780,-386,16790,0,0,0,-233,-69,129,-0.08,0,0.11
866,-328,16784,0,0,0,-233,-77,120,-0.08,-0.12,-0.03
856,-396,16784,0,0,0,-230,-71,123,-0.03,-0.03,0.02
800,-360,16820,0,0,0,-226,-66,120,0.03,0.05,-0.03
762,-336,16758,0,0,0,-225,-67,128,0.05,0.03,0.09
834,-282,16824,0,0,0,-224,-67,132,0.06,0.03,0.15
828,-416,16680,0,-0.01,-0.01,-236,-75,122,-0.12,-0.09,0
804,-302,16902,0,0,0.01,-230,-73,120,-0.03,-0.06,-0.03
836,-338,16722,0,0,0,-220,-59,130,0.12,0.15,0.12
892,-320,16960,0,0,0.01,-223,-71,116,0.08,-0.03,-0.09
760,-300,16874,0,0,0,-231,-62,133,-0.05,0.11,0.17
754,-310,16800,0,0,0,-227,-73,112,0.02,-0.06,-0.15
836,-286,16726,0,0,0,-228,-60,125,0,0.14,0.05
786,-418,16734,0,-0.01,0,-229,-62,121,-0.02,0.11,-0.02
810,-312,16764,0,0,0,-231,-72,122,-0.05,-0.05,0
724,-374,16708,-0.01,0,-0.01,-233,-72,121,-0.08,-0.05,-0.02
884,-310,16834,0,0,0,-222,-80,121,0.09,-0.17,-0.02
888,-366,16824,0,0,0,-220,-66,127,0.12,0.05,0.08
814,-388,16718,0,0,0,-231,-70,115,-0.05,-0.02,-0.11
884,-348,16676,0,0,-0.01,-233,-68,121,-0.08,0.02,-0.02
