accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
-15390,-478,2,-0.99,-0.01,-1.02,-231,-62,120,-0.05,0.11,-0.03
-15380,-476,32,-0.99,-0.01,-1.02,-216,-66,121,0.18,0.05,-0.02
-15394,-512,26,-0.99,-0.01,-1.02,-229,-69,129,-0.02,0,0.11
-15384,-436,54,-0.99,-0.01,-1.02,-237,-81,111,-0.14,-0.18,-0.17
-15420,-436,-88,-0.99,-0.01,-1.03,-227,-76,133,0.02,-0.11,0.17
-15470,-482,24,-0.99,-0.01,-1.02,-225,-70,144,0.05,-0.02,0.34
-15372,-436,42,-0.99,-0.01,-1.02,-229,-75,128,-0.02,-0.09,0.09
-15358,-522,-80,-0.99,-0.01,-1.03,-239,-82,129,-0.17,-0.2,0.11
-15426,-588,-42,-0.99,-0.02,-1.03,-231,-82,130,-0.05,-0.2,0.12
-15400,-454,76,-0.99,-0.01,-1.02,-224,-69,126,0.06,0,0.06
-15402,-590,-44,-0.99,-0.02,-1.03,-226,-69,130,0.03,0,0.12
-15350,-556,-114,-0.99,-0.01,-1.03,-232,-50,122,-0.06,0.29,0
-15388,-526,-24,-0.99,-0.01,-1.03,-231,-69,121,-0.05,0,-0.02
-15352,-488,-60,-0.99,-0.01,-1.03,-227,-59,130,0.02,0.15,0.12
-15358,-570,70,-0.99,-0.01,-1.02,-234,-71,128,-0.09,-0.03,0.09
-15354,-466,-120,-0.99,-0.01,-1.03,-226,-70,129,0.03,-0.02,0.11
-15384,-514,20,-0.99,-0.01,-1.02,-225,-68,120,0.05,0.02,-0.03
-15436,-446,46,-0.99,-0.01,-1.02,-230,-74,127,-0.03,-0.08,0.08
-15450,-502,-28,-0.99,-0.01,-1.03,-223,-70,121,0.08,-0.02,-0.02
-15330,-514,92,-0.99,-0.01,-1.02,-237,-61,123,-0.14,0.12,0.02
-15300,-478,114,-0.98,-0.01,-1.02,-233,-81,124,-0.08,-0.18,0.03
-15406,-526,82,-0.99,-0.01,-1.02,-231,-65,127,-0.05,0.06,0.08
-15410,-528,-16,-0.99,-0.01,-1.03,-235,-72,132,-0.11,-0.05,0.15
-15414,-656,14,-0.99,-0.02,-1.02,-229,-75,136,-0.02,-0.09,0.21
-15396,-532,62,-0.99,-0.01,-1.02,-230,-66,122,-0.03,0.05,0
-15392,-518,-78,-0.99,-0.01,-1.03,-235,-75,120,-0.11,-0.09,-0.03
-15456,-464,-52,-0.99,-0.01,-1.03,-223,-76,113,0.08,-0.11,-0.14
-15378,-462,16,-0.99,-0.01,-1.02,-235,-72,115,-0.11,-0.05,-0.11
-15412,-534,-100,-0.99,-0.01,-1.03,-225,-71,126,0.05,-0.03,0.06
-15336,-566,-42,-0.99,-0.01,-1.03,-226,-62,128,0.03,0.11,0.09
-15320,-562,-82,-0.98,-0.01,-1.03,-228,-67,126,0,0.03,0.06
-15410,-506,-60,-0.99,-0.01,-1.03,-229,-59,126,-0.02,0.15,0.06
-15406,-516,-10,-0.99,-0.01,-1.03,-228,-73,128,0,-0.06,0.09
-15402,-608,-128,-0.99,-0.02,-1.03,-237,-69,129,-0.14,0,0.11
-15344,-554,-60,-0.99,-0.01,-1.03,-226,-74,130,0.03,-0.08,0.12
-15498,-548,56,-1,-0.01,-1.02,-231,-78,118,-0.05,-0.14,-0.06
-15470,-560,112,-0.99,-0.01,-1.02,-231,-70,118,-0.05,-0.02,-0.06
-15436,-564,108,-0.99,-0.01,-1.02,-227,-62,121,0.02,0.11,-0.02
-15412,-522,8,-0.99,-0.01,-1.02,-235,-69,127,-0.11,0,0.08
-15358,-606,-16,-0.99,-0.02,-1.03,-228,-67,118,0,0.03,-0.06
-15344,-528,66,-0.99,-0.01,-1.02,-230,-72,130,-0.03,-0.05,0.12
-15382,-466,20,-0.99,-0.01,-1.02,-231,-64,120,-0.05,0.08,-0.03
-15338,-582,-8,-0.99,-0.02,-1.03,-230,-73,131,-0.03,-0.06,0.14
-15400,-574,-60,-0.99,-0.02,-1.03,-229,-67,121,-0.02,0.03,-0.02
-15422,-518,-4,-0.99,-0.01,-1.03,-231,-69,136,-0.05,0,0.21
-15410,-500,108,-0.99,-0.01,-1.02,-234,-79,124,-0.09,-0.15,0.03
-15398,-512,168,-0.99,-0.01,-1.01,-231,-77,128,-0.05,-0.12,0.09
-15390,-536,2,-0.99,-0.01,-1.02,-237,-69,127,-0.14,0,0.08
-15426,-572,38,-0.99,-0.01,-1.02,-232,-70,129,-0.06,-0.02,0.11
-15354,-502,-66,-0.99,-0.01,-1.03,-231,-74,131,-0.05,-0.08,0.14
-15434,-538,2,-0.99,-0.01,-1.02,-226,-66,121,0.03,0.05,-0.02
-15312,-530,52,-0.98,-0.01,-1.02,-217,-67,133,0.17,0.03,0.17
-15368,-514,36,-0.99,-0.01,-1.02,-230,-63,132,-0.03,0.09,0.15
-15372,-528,-12,-0.99,-0.01,-1.03,-230,-73,123,-0.03,-0.06,0.02
-15412,-540,-22,-0.99,-0.01,-1.03,-238,-68,132,-0.15,0.02,0.15
-15390,-558,-22,-0.99,-0.01,-1.03,-225,-66,118,0.05,0.05,-0.06
-15452,-470,78,-0.99,-0.01,-1.02,-238,-71,125,-0.15,-0.03,0.05
-15472,-552,-76,-0.99,-0.01,-1.03,-230,-61,125,-0.03,0.12,0.05
-15386,-560,-78,-0.99,-0.01,-1.03,-231,-74,126,-0.05,-0.08,0.06
-15396,-530,-34,-0.99,-0.01,-1.03,-231,-58,133,-0.05,0.17,0.17
-15352,-570,-32,-0.99,-0.01,-1.03,-235,-79,131,-0.11,-0.15,0.14
-15448,-526,-20,-0.99,-0.01,-1.03,-224,-65,108,0.06,0.06,-0.21
-15398,-558,24,-0.99,-0.01,-1.02,-235,-68,129,-0.11,0.02,0.11
-15402,-448,-126,-0.99,-0.01,-1.03,-227,-75,117,0.02,-0.09,-0.08
-15358,-550,-66,-0.99,-0.01,-1.03,-233,-64,126,-0.08,0.08,0.06
-15368,-580,28,-0.99,-0.02,-1.02,-235,-67,128,-0.11,0.03,0.09
-15334,-582,104,-0.99,-0.02,-1.02,-233,-66,126,-0.08,0.05,0.06
-15454,-584,-42,-0.99,-0.02,-1.03,-232,-61,128,-0.06,0.12,0.09
-15370,-542,54,-0.99,-0.01,-1.02,-228,-66,121,0,0.05,-0.02
-15386,-546,56,-0.99,-0.01,-1.02,-236,-64,122,-0.12,0.08,0
-15400,-506,14,-0.99,-0.01,-1.02,-233,-73,122,-0.08,-0.06,0
-15358,-568,-120,-0.99,-0.01,-1.03,-224,-69,124,0.06,0,0.03
-15348,-496,-20,-0.99,-0.01,-1.03,-229,-75,122,-0.02,-0.09,0
-15382,-482,46,-0.99,-0.01,-1.02,-230,-75,126,-0.03,-0.09,0.06
-15444,-478,-80,-0.99,-0.01,-1.03,-225,-68,132,0.05,0.02,0.15
-15444,-600,30,-0.99,-0.02,-1.02,-222,-72,126,0.09,-0.05,0.06
-15352,-600,130,-0.99,-0.02,-1.02,-224,-77,138,0.06,-0.12,0.24
-15412,-586,-14,-0.99,-0.02,-1.03,-231,-71,129,-0.05,-0.03,0.11
-15382,-526,-10,-0.99,-0.01,-1.03,-236,-60,125,-0.12,0.14,0.05
-15398,-458,-62,-0.99,-0.01,-1.03,-232,-72,126,-0.06,-0.05,0.06
-15350,-468,34,-0.99,-0.01,-1.02,-230,-59,130,-0.03,0.15,0.12
-15376,-548,-20,-0.99,-0.01,-1.03,-225,-62,125,0.05,0.11,0.05
-15440,-538,56,-0.99,-0.01,-1.02,-233,-74,121,-0.08,-0.08,-0.02
-15396,-552,-18,-0.99,-0.01,-1.03,-227,-59,118,0.02,0.15,-0.06
-15390,-500,52,-0.99,-0.01,-1.02,-226,-68,121,0.03,0.02,-0.02
-15440,-594,-38,-0.99,-0.02,-1.03,-233,-74,134,-0.08,-0.08,0.18
-15428,-500,0,-0.99,-0.01,-1.03,-233,-68,132,-0.08,0.02,0.15
-15370,-490,8,-0.99,-0.01,-1.02,-222,-73,132,0.09,-0.06,0.15
-15358,-522,-18,-0.99,-0.01,-1.03,-230,-65,121,-0.03,0.06,-0.02
-15470,-580,2,-0.99,-0.02,-1.02,-221,-72,127,0.11,-0.05,0.08
-15432,-578,-60,-0.99,-0.02,-1.03,-223,-69,122,0.08,0,0
-15384,-504,94,-0.99,-0.01,-1.02,-232,-76,124,-0.06,-0.11,0.03
-15384,-510,96,-0.99,-0.01,-1.02,-225,-62,124,0.05,0.11,0.03
-15342,-480,110,-0.99,-0.01,-1.02,-229,-65,114,-0.02,0.06,-0.12
-15308,-544,14,-0.98,-0.01,-1.02,-236,-67,127,-0.12,0.03,0.08
-15394,-484,-64,-0.99,-0.01,-1.03,-229,-67,126,-0.02,0.03,0.06
-15374,-548,52,-0.99,-0.01,-1.02,-231,-73,123,-0.05,-0.06,0.02
-15326,-512,-46,-0.99,-0.01,-1.03,-228,-71,116,0,-0.03,-0.09
-15306,-534,62,-0.98,-0.01,-1.02,-227,-63,123,0.02,0.09,0.02
-15394,-626,54,-0.99,-0.02,-1.02,-226,-79,124,0.03,-0.15,0.03
-15414,-512,80,-0.99,-0.01,-1.02,-235,-73,127,-0.11,-0.06,0.08
-15440,-532,8,-0.99,-0.01,-1.02,-227,-69,121,0.02,0,-0.02
-15452,-606,0,-0.99,-0.02,-1.03,-235,-73,124,-0.11,-0.06,0.03
-15398,-506,-150,-0.99,-0.01,-1.03,-229,-74,122,-0.02,-0.08,0
-15430,-562,-2,-0.99,-0.01,-1.03,-236,-78,125,-0.12,-0.14,0.05
-15514,-570,82,-1,-0.01,-1.02,-232,-71,129,-0.06,-0.03,0.11
-15420,-474,88,-0.99,-0.01,-1.02,-230,-68,118,-0.03,0.02,-0.06
-15370,-554,76,-0.99,-0.01,-1.02,-231,-65,129,-0.05,0.06,0.11
