accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
1056,-16850,-204,0.01,-1.01,-1.04,-225,-80,117,0.05,-0.17,-0.08
1034,-16838,-132,0.01,-1.01,-1.03,-237,-68,128,-0.14,0.02,0.09
1116,-16856,-44,0.02,-1.01,-1.03,-230,-77,126,-0.03,-0.12,0.06
1066,-16828,-112,0.02,-1.01,-1.03,-243,-70,121,-0.23,-0.02,-0.02
1096,-16796,-174,0.02,-1.01,-1.04,-232,-68,121,-0.06,0.02,-0.02
1118,-16758,-246,0.02,-1,-1.04,-240,-68,115,-0.18,0.02,-0.11
1090,-16784,-302,0.02,-1,-1.04,-222,-66,117,0.09,0.05,-0.08
1106,-16888,-208,0.02,-1.01,-1.04,-229,-69,123,-0.02,0,0.02
1064,-16868,-114,0.02,-1.01,-1.03,-214,-63,130,0.21,0.09,0.12
1074,-16778,-34,0.02,-1,-1.03,-221,-70,126,0.11,-0.02,0.06
1142,-16846,-216,0.02,-1.01,-1.04,-230,-74,128,-0.03,-0.08,0.09
1140,-16820,-190,0.02,-1.01,-1.04,-222,-69,124,0.09,0,0.03
1076,-16858,-48,0.02,-1.01,-1.03,-223,-71,130,0.08,-0.03,0.12
1136,-16780,-170,0.02,-1,-1.04,-225,-68,137,0.05,0.02,0.23
1164,-16844,-222,0.02,-1.01,-1.04,-217,-71,126,0.17,-0.03,0.06
1060,-16826,-126,0.01,-1.01,-1.03,-229,-70,125,-0.02,-0.02,0.05
1118,-16808,-168,0.02,-1.01,-1.04,-227,-62,127,0.02,0.11,0.08
1108,-16782,-210,0.02,-1,-1.04,-234,-85,119,-0.09,-0.24,-0.05
1138,-16852,-172,0.02,-1.01,-1.04,-225,-65,124,0.05,0.06,0.03
1066,-16824,-192,0.02,-1.01,-1.04,-232,-70,127,-0.06,-0.02,0.08
1158,-16808,-72,0.02,-1.01,-1.03,-234,-72,118,-0.09,-0.05,-0.06
1102,-16818,-90,0.02,-1.01,-1.03,-226,-72,123,0.03,-0.05,0.02
1084,-16798,-188,0.02,-1.01,-1.04,-231,-68,117,-0.05,0.02,-0.08
1152,-16900,-116,0.02,-1.01,-1.03,-230,-73,130,-0.03,-0.06,0.12
1134,-16902,-208,0.02,-1.01,-1.04,-220,-72,125,0.12,-0.05,0.05
1092,-16834,-158,0.02,-1.01,-1.03,-221,-66,132,0.11,0.05,0.15
1088,-16804,-124,0.02,-1.01,-1.03,-223,-63,127,0.08,0.09,0.08
1150,-16796,-222,0.02,-1.01,-1.04,-225,-76,129,0.05,-0.11,0.11
1102,-16838,-112,0.02,-1.01,-1.03,-230,-76,127,-0.03,-0.11,0.08
1172,-16782,-312,0.02,-1,-1.04,-235,-64,129,-0.11,0.08,0.11
1162,-16810,-160,0.02,-1.01,-1.03,-215,-61,113,0.2,0.12,-0.14
1182,-16724,-90,0.02,-1,-1.03,-230,-68,130,-0.03,0.02,0.12
1112,-16828,-208,0.02,-1.01,-1.04,-233,-74,123,-0.08,-0.08,0.02
1150,-16856,-158,0.02,-1.01,-1.03,-228,-72,115,0,-0.05,-0.11
1172,-16816,-122,0.02,-1.01,-1.03,-221,-71,120,0.11,-0.03,-0.03
1046,-16782,-132,0.01,-1,-1.03,-245,-66,114,-0.26,0.05,-0.12
1156,-16738,-202,0.02,-1,-1.04,-234,-69,121,-0.09,0,-0.02
1078,-16760,-266,0.02,-1,-1.04,-230,-74,125,-0.03,-0.08,0.05
1054,-16850,-48,0.01,-1.01,-1.03,-225,-71,130,0.05,-0.03,0.12
1186,-16742,-180,0.02,-1,-1.04,-231,-73,128,-0.05,-0.06,0.09
1052,-16858,-176,0.01,-1.01,-1.04,-234,-69,127,-0.09,0,0.08
1058,-16822,-86,0.01,-1.01,-1.03,-228,-68,123,0,0.02,0.02
1106,-16916,-130,0.02,-1.01,-1.03,-224,-69,119,0.06,0,-0.05
1104,-16788,-164,0.02,-1,-1.04,-235,-70,128,-0.11,-0.02,0.09
1108,-16814,-216,0.02,-1.01,-1.04,-225,-83,120,0.05,-0.21,-0.03
1034,-16844,-186,0.01,-1.01,-1.04,-221,-70,123,0.11,-0.02,0.02
1054,-16766,-112,0.01,-1,-1.03,-220,-77,126,0.12,-0.12,0.06
1172,-16766,-96,0.02,-1,-1.03,-205,-60,132,0.35,0.14,0.15
1126,-16792,-150,0.02,-1,-1.03,-205,-66,135,0.35,0.05,0.2
1146,-16776,-208,0.02,-1,-1.04,-216,-68,142,0.18,0.02,0.31
1152,-16858,-182,0.02,-1.01,-1.04,-217,-76,131,0.17,-0.11,0.14
1126,-16808,-218,0.02,-1.01,-1.04,-229,-66,127,-0.02,0.05,0.08
1114,-16840,-170,0.02,-1.01,-1.04,-229,-67,123,-0.02,0.03,0.02
1120,-16808,-186,0.02,-1.01,-1.04,-233,-73,123,-0.08,-0.06,0.02
1136,-16776,-154,0.02,-1,-1.03,-225,-66,114,0.05,0.05,-0.12
1158,-16862,-168,0.02,-1.01,-1.04,-232,-63,119,-0.06,0.09,-0.05
1072,-16864,-120,0.02,-1.01,-1.03,-227,-67,126,0.02,0.03,0.06
1098,-16788,-156,0.02,-1,-1.03,-223,-61,129,0.08,0.12,0.11
1056,-16792,-182,0.01,-1,-1.04,-220,-66,133,0.12,0.05,0.17
1080,-16774,-218,0.02,-1,-1.04,-227,-65,127,0.02,0.06,0.08
1166,-16810,-192,0.02,-1.01,-1.04,-220,-68,128,0.12,0.02,0.09
1090,-16914,-202,0.02,-1.01,-1.04,-223,-73,121,0.08,-0.06,-0.02
