,,,,,,,,,,,
574,16002,-64,-0.01,1,-1.03,-231,-79,115,-0.05,-0.15,-0.11
636,15984,-92,-0.01,1,-1.03,-227,-65,130,0.02,0.06,0.12
440,15936,-46,-0.02,0.99,-1.03,-228,-60,122,0,0.14,0
604,15942,-90,-0.01,0.99,-1.03,-218,-74,126,0.15,-0.08,0.06
576,15908,-64,-0.01,0.99,-1.03,-235,-64,115,-0.11,0.08,-0.11
552,16028,-62,-0.02,1,-1.03,-227,-72,108,0.02,-0.05,-0.21
602,16028,-136,-0.01,1,-1.03,-208,-67,125,0.31,0.03,0.05
610,16010,-64,-0.01,1,-1.03,-237,-73,111,-0.14,-0.06,-0.17
542,15966,-72,-0.02,0.99,-1.03,-233,-68,133,-0.08,0.02,0.17
614,15946,-52,-0.01,0.99,-1.03,-236,-68,147,-0.12,0.02,0.38
552,16044,-82,-0.02,1,-1.03,-236,-75,131,-0.12,-0.09,0.14
502,15994,-140,-0.02,1,-1.03,-234,-74,141,-0.09,-0.08,0.29
600,15964,-28,-0.01,0.99,-1.03,-236,-70,128,-0.12,-0.02,0.09
580,16066,-116,-0.01,1,-1.03,-229,-71,129,-0.02,-0.03,0.11
564,15930,-18,-0.02,0.99,-1.03,-220,-67,116,0.12,0.03,-0.09
592,15952,-32,-0.01,0.99,-1.03,-220,-66,119,0.12,0.05,-0.05
600,15992,-26,-0.01,1,-1.03,-221,-80,120,0.11,-0.17,-0.03
554,15926,-78,-0.02,0.99,-1.03,-222,-62,126,0.09,0.11,0.06
630,15972,6,-0.01,0.99,-1.02,-235,-62,130,-0.11,0.11,0.12
588,15980,-70,-0.01,1,-1.03,-226,-64,130,0.03,0.08,0.12
664,15994,-118,-0.01,1,-1.03,-231,-73,134,-0.05,-0.06,0.18
618,15950,-32,-0.01,0.99,-1.03,-241,-62,136,-0.2,0.11,0.21
530,15974,-10,-0.02,0.99,-1.03,-233,-65,130,-0.08,0.06,0.12
638,15986,-116,-0.01,1,-1.03,-230,-70,128,-0.03,-0.02,0.09
556,15912,22,-0.02,0.99,-1.02,-224,-61,124,0.06,0.12,0.03
