accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
17150,-334,118,1,0,-1.02,-223,-67,120,0.08,0.03,-0.03
17142,-326,126,1,0,-1.02,-221,-75,121,0.11,-0.09,-0.02
17040,-352,204,0.99,0,-1.01,-235,-63,126,-0.11,0.09,0.06
17162,-366,68,1,0,-1.02,-224,-59,113,0.06,0.15,-0.14
17196,-414,288,1,-0.01,-1.01,-221,-79,120,0.11,-0.15,-0.03
17142,-358,120,1,0,-1.02,-237,-73,122,-0.14,-0.06,0
17198,-342,42,1,0,-1.02,-225,-70,121,0.05,-0.02,-0.02
17184,-384,90,1,0,-1.02,-230,-65,119,-0.03,0.06,-0.05
17238,-338,116,1,0,-1.02,-223,-71,125,0.08,-0.03,0.05
17178,-382,54,1,0,-1.02,-228,-73,124,0,-0.06,0.03
17132,-308,100,1,0,-1.02,-241,-64,129,-0.2,0.08,0.11
17132,-360,126,1,0,-1.02,-224,-65,119,0.06,0.06,-0.05
17264,-306,58,1,0,-1.02,-222,-70,129,0.09,-0.02,0.11
17170,-400,34,1,0,-1.02,-232,-67,117,-0.06,0.03,-0.08
17122,-368,100,1,0,-1.02,-223,-75,116,0.08,-0.09,-0.09
17200,-396,92,1,0,-1.02,-229,-64,118,-0.02,0.08,-0.06
17110,-358,118,0.99,0,-1.02,-227,-65,120,0.02,0.06,-0.03
17182,-340,46,1,0,-1.02,-223,-78,115,0.08,-0.14,-0.11
17130,-374,-18,1,0,-1.03,-240,-77,124,-0.18,-0.12,0.03
17144,-266,114,1,0,-1.02,-225,-74,115,0.05,-0.08,-0.11
17160,-306,-102,1,0,-1.03,-232,-74,125,-0.06,-0.08,0.05
17196,-328,18,1,0,-1.02,-231,-73,128,-0.05,-0.06,0.09
17118,-372,6,0.99,0,-1.02,-225,-68,115,0.05,0.02,-0.11
17118,-398,-52,0.99,0,-1.03,-227,-73,114,0.02,-0.06,-0.12
17140,-326,120,1,0,-1.02,-223,-71,121,0.08,-0.03,-0.02
17138,-312,24,1,0,-1.02,-229,-58,120,-0.02,0.17,-0.03
17140,-394,30,1,0,-1.02,-229,-68,127,-0.02,0.02,0.08
17128,-390,182,1,0,-1.01,-232,-77,125,-0.06,-0.12,0.05
17180,-420,54,1,-0.01,-1.02,-230,-69,119,-0.03,0,-0.05
17088,-382,102,0.99,0,-1.02,-234,-73,119,-0.09,-0.06,-0.05
17168,-382,152,1,0,-1.02,-235,-79,116,-0.11,-0.15,-0.09
17152,-308,168,1,0,-1.01,-233,-71,121,-0.08,-0.03,-0.02
17124,-354,14,1,0,-1.02,-232,-73,130,-0.06,-0.06,0.12
17146,-446,92,1,-0.01,-1.02,-229,-61,122,-0.02,0.12,0
17086,-298,88,0.99,0,-1.02,-233,-71,118,-0.08,-0.03,-0.06
17084,-378,200,0.99,0,-1.01,-230,-70,120,-0.03,-0.02,-0.03
17106,-404,110,0.99,0,-1.02,-224,-84,126,0.06,-0.23,0.06
17126,-340,24,1,0,-1.02,-218,-74,118,0.15,-0.08,-0.06
17186,-316,204,1,0,-1.01,-234,-63,119,-0.09,0.09,-0.05
17102,-330,18,0.99,0,-1.02,-224,-69,119,0.06,0,-0.05
17186,-346,104,1,0,-1.02,-231,-69,112,-0.05,0,-0.15
17044,-350,60,0.99,0,-1.02,-230,-64,125,-0.03,0.08,0.05
17108,-356,156,0.99,0,-1.02,-228,-68,124,0,0.02,0.03
17240,-402,144,1,0,-1.02,-239,-63,129,-0.17,0.09,0.11
17130,-384,-20,1,0,-1.03,-225,-75,118,0.05,-0.09,-0.06
17128,-436,-18,1,-0.01,-1.03,-228,-73,118,0,-0.06,-0.06
17202,-372,34,1,0,-1.02,-220,-68,121,0.12,0.02,-0.02
17146,-426,100,1,-0.01,-1.02,-229,-84,127,-0.02,-0.23,0.08
17192,-312,118,1,0,-1.02,-219,-69,128,0.14,0,0.09
17054,-354,166,0.99,0,-1.01,-231,-77,127,-0.05,-0.12,0.08
17256,-394,132,1,0,-1.02,-227,-72,127,0.02,-0.05,0.08
17108,-352,112,0.99,0,-1.02,-226,-66,125,0.03,0.05,0.05
17126,-446,6,1,-0.01,-1.02,-236,-68,119,-0.12,0.02,-0.05
17142,-340,120,1,0,-1.02,-229,-65,118,-0.02,0.06,-0.06
17166,-382,108,1,0,-1.02,-230,-74,125,-0.03,-0.08,0.05
17202,-322,68,1,0,-1.02,-230,-85,120,-0.03,-0.24,-0.03
17158,-328,92,1,0,-1.02,-232,-72,120,-0.06,-0.05,-0.03
17092,-416,172,0.99,-0.01,-1.01,-229,-62,122,-0.02,0.11,0
17178,-342,164,1,0,-1.01,-228,-76,126,0,-0.11,0.06
17146,-342,166,1,0,-1.01,-222,-72,123,0.09,-0.05,0.02
17142,-294,160,1,0,-1.02,-232,-58,126,-0.06,0.17,0.06
17188,-332,102,1,0,-1.02,-226,-67,116,0.03,0.03,-0.09
17164,-370,-56,1,0,-1.03,-216,-63,121,0.18,0.09,-0.02
17168,-376,14,1,0,-1.02,-227,-74,121,0.02,-0.08,-0.02
17204,-348,120,1,0,-1.02,-225,-67,121,0.05,0.03,-0.02
17134,-338,22,1,0,-1.02,-228,-76,128,0,-0.11,0.09
17142,-340,128,1,0,-1.02,-235,-70,128,-0.11,-0.02,0.09
17144,-360,-26,1,0,-1.03,-222,-57,122,0.09,0.18,0
17174,-334,80,1,0,-1.02,-225,-68,119,0.05,0.02,-0.05
17196,-356,76,1,0,-1.02,-231,-63,128,-0.05,0.09,0.09
17198,-316,28,1,0,-1.02,-219,-64,125,0.14,0.08,0.05
17184,-342,94,1,0,-1.02,-234,-68,121,-0.09,0.02,-0.02
17120,-408,68,1,0,-1.02,-224,-71,120,0.06,-0.03,-0.03
17140,-344,176,1,0,-1.01,-226,-61,123,0.03,0.12,0.02
17226,-392,114,1,0,-1.02,-228,-64,121,0,0.08,-0.02
17116,-352,82,0.99,0,-1.02,-225,-62,124,0.05,0.11,0.03
17208,-414,128,1,-0.01,-1.02,-229,-66,121,-0.02,0.05,-0.02
17178,-414,154,1,-0.01,-1.02,-221,-72,118,0.11,-0.05,-0.06
17228,-394,138,1,0,-1.02,-228,-64,123,0,0.08,0.02
17160,-356,108,1,0,-1.02,-233,-66,124,-0.08,0.05,0.03
17128,-416,74,1,-0.01,-1.02,-233,-68,117,-0.08,0.02,-0.08
17130,-374,160,1,0,-1.02,-232,-82,119,-0.06,-0.2,-0.05
17182,-338,68,1,0,-1.02,-227,-81,119,0.02,-0.18,-0.05
17122,-368,120,1,0,-1.02,-230,-62,115,-0.03,0.11,-0.11
17198,-344,190,1,0,-1.01,-233,-66,121,-0.08,0.05,-0.02
17156,-400,68,1,0,-1.02,-240,-73,124,-0.18,-0.06,0.03
17116,-406,308,0.99,0,-1.01,-225,-58,137,0.05,0.17,0.23
